原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
标准利率互换到期结算利率	PTPS-SHCH-2	基础行情数据	本币标准产品到期结算价（到期交割价）	私有服务	双向：Out-In	A8、A10、A12	/	核心交易体系	交易后处理系统	上海清算所
标准债券远期到期结算价	PTPS-SHCH-1	基础行情数据	本币标准产品到期结算价（到期交割价）	私有服务	双向：Out-In	A8、A10、A12	/	核心交易体系	交易后处理系统	上海清算所
交割指令	PTPS-CDC-1	基础行情数据	交割指令	公有服务	单向：Out-Only	/	/	公共服务体系	交易后处理系统	中央国债登记结算公司
IRS净额清算-审核结果统计	SHCH-RMBTS-9	清算数据	本币利率互换市场清算承接审核结果统计	私有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-当日交易总笔数核对结果	RMBTS-SHCH-30	基础统计数据	清算所--本币标准产品日终交易笔数反馈（核对结果）	私有服务	单向：Out-Only	A8、A10、A12	/	公共服务体系	上海清算所	本币交易系统
财政部国债做市支持系统发送给本币交易系统的现券成交	MMSSMF-RMBTS-1-R	成交信息	现券买卖成交--财政部做市支持	私有服务	单向：Out-Only	/	/	核心交易体系	财政部做市支持系统	本币交易系统
CDC发送给本币交易系统的现券买卖流通量	MMSSMF-RMBTS-1	成交信息	现券买卖成交--财政部做市支持反馈	私有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	财政部做市支持系统
外汇期权报价	ICAP-FXTS-4	报价信息	外汇期权最优报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	外汇交易系统
接口组-接收本币的汇总行情	RMBTS-XTRADE-Repo-9	基础统计数据	质押式回购成交行情	公有服务	单向：Out-Only	A16	/	公共服务体系	本币交易系统	标准金融资产及衍生品交易系统
利率互换数据	RMBTS-RMBMSS-26	成交确认数据	利率互换交易确认数据	公有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	本币监测系统
成交确认	FXTS-FXCSTP-1-R	成交确认数据	外汇成交确认	私有服务	单向：Out-Only	A12	/	交易后服务体系	外汇交易直通式处理系统（外汇CSTP）	外汇交易系统
质押式回购押券替换（关联机构）	RMBTS-CSTP-26-2	交易替换数据	质押式回购关联机构押券替换响应	私有服务	双向：In-Out	A12	/	交易后服务体系	本币交易直通式处理系统（本币CSTP）	本币交易系统
质押式回购押券替换	RMBTS-CSTP-12-2	交易替换数据	质押式回购押券替换响应	私有服务	双向：In-Out	A12	/	交易后服务体系	本币交易直通式处理系统（本币CSTP）	本币交易系统
FTS获取文件指令数据	CDITS-Ihub-FTS-1	技术信息	FTS获取文件指令信息	私有服务	单向：Out-Only	/	/	各体系共通	大额存单发行注册系统	文件传输中间件
指令信息-FTS根据指令获取文件	ICDIS-Ihub-FTS-1	技术信息	FTS获取文件指令信息	私有服务	单向：Out-Only	/	/	各体系共通	货币及债务工具发行系统（原名：同业存单发行系统）	文件传输中间件
报文重发	CFAT-RMBTS-2	技术信息	报文重发	私有服务	单向：Out-Only	/	/	各体系共通	本币交易系统	北金所
