服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PRV-CDITS-I-0002	各体系共通	技术数据	技术信息	请求/发送	FTS获取文件指令信息	单向：Out-Only	私有服务		FTS获取文件指令数据	CDITS-Ihub-FTS-1	/			/	IMIX	大额存单发行注册系统	文件传输中间件
PRV-ICDIS-I-0003	各体系共通	技术数据	技术信息	请求/发送	FTS获取文件指令信息	单向：Out-Only	私有服务		指令信息-FTS根据指令获取文件	ICDIS-Ihub-FTS-1	/			/	IMIX	货币及债务工具发行系统（原名：同业存单发行系统）	文件传输中间件
PRV-RMBTS-I-0075	各体系共通	技术数据	技术信息	请求/发送	报文重发	单向：Out-Only	私有服务	PUB-CFAT-I-0001	报文重发	CFAT-RMBTS-2	/			/	IMIX	本币交易系统	北金所
PRV-RMBTS-I-0068	各体系共通	技术数据	技术信息	响应/反馈	本币清算承接结果反馈--债券交易技术反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0045	债券交易净额清算-净额清算承接结果反馈技术反馈	SHCH-RMBTS-11-2	/			/	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0066	各体系共通	技术数据	技术信息	响应/反馈	清算所--托管余额传输-报文传输反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0043	托管余额传输-报文传输反馈	SHCH-RMBTS-8-3	/			/	IMIX	本币交易系统	上海清算所
PUB-SHCH-I-0003	各体系共通	技术数据	技术信息	请求/发送	清算所托管余额传输--托管余额发送预通知	单向：Out-Only	私有服务		托管余额传输-托管余额发送预通知	SHCH-RMBTS-8-1	/			/	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0067	各体系共通	技术数据	技术信息	响应/反馈	债券交易净额清算-质押式回购净额清算债券列表技术反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0044	债券交易净额清算-质押式回购净额清算债券列表技术反馈	SHCH-RMBTS-10-2	/			/	IMIX	本币交易系统	上海清算所
PUB-SHCH-I-0010	公共服务体系	产品数据	产品基础信息	计算类	NDF远期起息日	单向：Out-Only	公有服务		起息日信息	SHCH-FXTS-7	/			/	IMIX	上海清算所	外汇交易系统
PRV-SHCH-I-0059	公共服务体系	产品数据	产品基础信息	产品相关	本币标准产品合约参数	双向：Out-In	私有服务	PRV-XTRADE-I-0008	清算所-合约参数	SHCH-XTRADE-SIRS-8	将上清所发送给本币的标准利率互换、标准债券远期合约参数服务合并至上清所发给Xtrade的标准产品合约参数服务			31.0	IMIX	上海清算所	标准金融资产及衍生品交易系统
PRV-XTRADE-I-0008	公共服务体系	产品数据	产品基础信息	产品相关	本币标准产品合约参数反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0059	清算所-合约参数-反馈	SHCH-XTRADE-SIRS-8-R	将本币发送给上清所的标准利率互换、标准债券远期合约参数反馈服务合并Xtrade发给上清所的标准产品合约参数反馈服务			31.0	IMIX	标准金融资产及衍生品交易系统	上海清算所
