服务编号	所属服务体系	所属主题域	所属数据实体	所属数据实体类型	服务名称	MEP(消息交换模式)	公有/私有	对方接口编号	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	服务用途（用原“私有服务同一业务双向交互编号”或“对方接口编号”预留字段展示）	数据交换模式	服务发布者	服务订阅者
PRV-CDITS-0002	各体系共通	技术数据	技术信息	请求/发送	FTS获取文件指令信息--大额存单	单向：Out-Only	私有服务	/	FTS获取文件指令数据	CDITS-Ihub-FTS-1	1.0	/	/		FTS	大额存单发行注册系统	文件传输中间件
PRV-ICDIS-0003	各体系共通	技术数据	技术信息	请求/发送	FTS获取文件指令信息--同业存单	单向：Out-Only	私有服务	/	指令信息-FTS根据指令获取文件	ICDIS-Ihub-FTS-1	2.0	/	/		FTS	货币及债务工具发行系统（原名：同业存单发行系统）	文件传输中间件
PRV-RMBTS-0001	各体系共通	技术数据	技术信息	请求/发送	报文重发	单向：Out-Only	私有服务	PUB-CFAT-I-0001	报文重发	CFAT-RMBTS-2	3.0	/	/		IMIX	本币交易系统	北金所
PRV-SHCH-0001	各体系共通	技术数据	技术信息	请求/发送	清算所托管余额传输--托管余额发送预通知	单向：Out-Only	私有服务	/	托管余额传输-托管余额发送预通知	SHCH-RMBTS-8-1	6.0	/	/		IMIX	上海清算所	本币交易系统
PUB-CDITS-6	各体系共通	技术数据	技术信息	请求/发送	文件传输--大额存单	单向：OUT-Only	公有服务	/	V_FILE_SEND_MGMT	/	7.0	 8:05:04	定时－指定时点		ETL	大额存单系统	数据采集系统
PRV-RMBTS-0028	各体系共通	技术数据	技术信息	响应/反馈	本币清算承接结果反馈--债券交易技术反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0045	债券交易净额清算-净额清算承接结果反馈技术反馈	SHCH-RMBTS-11-2	4.0	/	/		IMIX	本币交易系统	上海清算所
PRV-RMBTS-0029	各体系共通	技术数据	技术信息	响应/反馈	清算所--托管余额传输-报文传输反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0043	托管余额传输-报文传输反馈	SHCH-RMBTS-8-3	5.0	/	/		IMIX	本币交易系统	上海清算所
PRV-RMBTS-0030	各体系共通	技术数据	技术信息	响应/反馈	债券交易净额清算-质押式回购净额清算债券列表技术反馈	单向：Out-Only	私有服务	PRV-SHCH-I-0044	债券交易净额清算-质押式回购净额清算债券列表技术反馈	SHCH-RMBTS-10-2	8.0	/	/		IMIX	本币交易系统	上海清算所
PUB-RMBTS-0336	公共服务体系	报告数据	交易行为分析数据	/	本币结算失败成交状态	单向：Out-Only	公有服务	/	结算失败成交	RMBTS-DPS-4	9.0	/	/		IMIX	本币交易系统	数据处理系统
PUB-DPS-0001	公共服务体系	报告数据	交易行为分析数据	/	本币利率互换成交清洗后信息	单向：Out-Only	公有服务	/	清洗后利率互换成交信息	DPS-RMBMSS-3	10.0	/	/		IMIX	数据处理系统	本币市场监测系统
PUB-DPS-0002	公共服务体系	报告数据	交易行为分析数据	/	本币异常交易数据	单向：Out-Only	公有服务	/	异常交易数据	DPS-RMBMSS-1	11.0	/	/		IMIX	数据处理系统	本币市场监测系统
PUB-RMBTS-0162	公共服务体系	产品数据	产品基础信息	/	IRS产品资料	单向：OUT-Only	公有服务	/	TRDX_PRDCT_IRS_DTLS	/	确定合并，编号E17-3	 19:29:39	定时－指定时点		ETL	本币交易系统	计费管理系统
PUB-RMBTS-0162	公共服务体系	产品数据	产品基础信息	/	IRS产品资料	单向：OUT-Only	公有服务	/	TRDX_PRDCT_IRS_DTLS	/	确定合并，编号E17-3	 6:04:03	定时－指定时点		ETL	本币交易系统	外汇交易系统
PUB-RMBTS-0162	公共服务体系	产品数据	产品基础信息	/	IRS产品资料	单向：OUT-Only	公有服务	/	TRDX_PRDCT_IRS_DTLS	/	确定合并，编号E17-3	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-BMS-0001	公共服务体系	产品数据	产品基础信息	/	报价品种信息	单向：OUT-Only	公有服务	/	T_TERM	/	确定合并，编号E86-4	 9:32:11	定时－指定时点		ETL	市场基准参考系统	CNFY
PUB-BMS-0001	公共服务体系	产品数据	产品基础信息	/	报价品种信息	单向：OUT-Only	公有服务	/	T_TERM	/	确定合并，编号E86-4	/	定时－指定时点		ETL	市场基准参考系统	交易后处理系统
PUB-BMS-0001	公共服务体系	产品数据	产品基础信息	/	报价品种信息	单向：OUT-Only	公有服务	/	T_TERM	/	确定合并，编号E86-4	 9:40:07	定时－指定时点		ETL	市场基准参考系统	人民币跨境交易信息统计监测系统
PUB-BMS-0001	公共服务体系	产品数据	产品基础信息	/	报价品种信息	单向：OUT-Only	公有服务	/	T_TERM	/	确定合并，编号E86-4	 18:00:20	定时－指定时点		ETL	市场基准参考系统	同业存单系统
PUB-RMBTS-0125	公共服务体系	产品数据	产品基础信息	/	标准期限	单向：OUT-Only	公有服务	/	TRDX_STNDRD_TERM_MASTER	/	确定合并，编号E18-2	 9:21:09	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0125	公共服务体系	产品数据	产品基础信息	/	标准期限	单向：OUT-Only	公有服务	/	TRDX_STNDRD_TERM_MASTER	/	确定合并，编号E18-2	 7:00:21	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0379	公共服务体系	产品数据	产品基础信息	/	产品到期收益率	单向：OUT-Only	公有服务	/	TRDX_PRDCT_YIELD_DTLS\TRDX_PRDCT_YIELD_DTLS1	/	14.0	 8:30:29	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0126	公共服务体系	产品数据	产品基础信息	/	产品基本信息详情	单向：OUT-Only	公有服务	/	TRDX_PRDCT_BASE_DTLS1	/	确定合并，编号E19-6	 9:21:09	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0126	公共服务体系	产品数据	产品基础信息	/	产品基本信息详情	单向：OUT-Only	公有服务	/	TRDX_PRDCT_BASE_DTLS	/	确定合并，编号E19-6	 8:30:28	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0126	公共服务体系	产品数据	产品基础信息	/	产品基本信息详情	单向：OUT-Only	公有服务	/	TRDX_PRDCT_BASE_DTLS	/	确定合并，编号E19-6	 7:00:21	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0126	公共服务体系	产品数据	产品基础信息	/	产品基本信息详情	单向：OUT-Only	公有服务	/	TRDX_PRDCT_BASE_DTLS	/	确定合并，编号E19-6	 7:20:24\ 17:11:54	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0126	公共服务体系	产品数据	产品基础信息	/	产品基本信息详情	单向：OUT-Only	公有服务	/	TRDX_PRDCT_BASE_DTLS(删除两个重复8:30:28\ 8:30:29)	/	确定合并，编号E19-6	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0126	公共服务体系	产品数据	产品基础信息	/	产品基本信息详情	单向：OUT-Only	公有服务	/	TRDX_PRDCT_BASE_DTLS	/	确定合并，编号E19-6	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-ICDIS-0001	公共服务体系	产品数据	产品基础信息	/	常量	单向：OUT-Only	公有服务	/	V_CONST	/	15.0	 21:05:07	定时－指定时点		ETL	同业存单系统	计费管理系统
PUB-RMBTS-0417	公共服务体系	产品数据	产品基础信息	/	待偿期	单向：OUT-Only	公有服务	/	TRDX_TERM_TO_MRTY_MASTER	/	16.0	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-ICDIS-0007	公共服务体系	产品数据	产品基础信息	/	定向发行--同业存单	单向：OUT-Only	公有服务	/	V_ISSUE_DIR(删除一个无更新时间)	/	17.0	 11:00:24	定时－指定时点		ETL	同业存单系统	数据采集系统
PUB-ICDIS-0008	公共服务体系	产品数据	产品基础信息	/	公开发行--同业存单	单向：OUT-Only	公有服务	/	V_ISSUE_PUB(删除一个无更新时间)	/	18.0	 11:00:24	定时－指定时点		ETL	同业存单系统	数据采集系统
PUB-FXTS-0029	公共服务体系	产品数据	产品基础信息	/	行权日期	单向：OUT-Only	公有服务	/	FXO_EXPIRY_DATE1	/	19.0	 16:21:20	定时－指定时点		ETL	外汇交易系统	市场基准参考系统
PUB-CIM-0042	公共服务体系	产品数据	产品基础信息	/	货币对	单向：OUT-Only	公有服务	/	V_CCY_PAIR	/	20.0	 19:15:17	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-RMBTS-0337	公共服务体系	产品数据	产品基础信息	/	交易方式配置	单向：OUT-Only	公有服务	/	TRDX_TRDNG_MTHD_CNFG_MASTER	/	22.0	 19:30:27	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0380	公共服务体系	产品数据	产品基础信息	/	交易工具本金详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_PRNCPL_DTLS1(删除一个重复8:30:29)	/	23.0	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0006	公共服务体系	产品数据	产品基础信息	/	交易工具到期日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_MRTY_DTLS1	/	确定合并，编号E1-9	 2:30:10\ 8:10:03	定时－指定时点		ETL	本币交易系统	MTS
PUB-RMBTS-0006	公共服务体系	产品数据	产品基础信息	/	交易工具到期日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_MRTY_DTLS(仅21:20:03)\TRDX_ASSET_MRTY_DTLS1(仅18:00:28)	/	确定合并，编号E1-9	 18:00:28\ 21:20:03	定时－指定时点		ETL	本币交易系统	大额存单系统
PUB-RMBTS-0006	公共服务体系	产品数据	产品基础信息	/	交易工具到期日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_MRTY_DTLS1	/	确定合并，编号E1-9	 17:03:44	定时－指定时点		ETL	本币交易系统	交易后处理系统
PUB-RMBTS-0006	公共服务体系	产品数据	产品基础信息	/	交易工具到期日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_MRTY_DTLS	/	确定合并，编号E1-9	 21:01:37	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0006	公共服务体系	产品数据	产品基础信息	/	交易工具到期日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_MRTY_DTLS	/	确定合并，编号E1-9	 18:00:38	定时－指定时点		ETL	本币交易系统	同业存单系统
PUB-RMBTS-0006	公共服务体系	产品数据	产品基础信息	/	交易工具到期日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_MRTY_DTLS	/	确定合并，编号E1-9	 6:04:03	定时－指定时点		ETL	本币交易系统	外汇交易系统
