主升级系统	主系统版本号	本版本新增数据流向	关联系统项目群	关联系统	关联系统版本号	关联系统是否联测	关联系统是否同步升级	传输依赖备注	数据交互内容简述
外汇交易系统	V2.81.5	<-	SWAP	C-Swap	V1.2.2.0	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	数据仓库系统	V3.10.22.1	Y	Y	ETL	
外汇交易系统	V2.81.5	<-	信息	大屏互动展示系统	V1.2.3	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	基准系统	V5.13.2	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	市场数据处理平台	V1.3.8	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	跨境监测系统	V2.1.1	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	交易后处理系统	V2.3.3	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	计费系统	V3.29.3	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	CNYFAST	V2.1.5	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	外汇报价引擎PES		Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	外汇资金管理FMS	V1.7.2	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	会员机构管理系统CIM	V1.5.4.1	Y	N	ETL	
外汇交易系统	V2.81.5	->	信息	CMDS	V3.1.1.0	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	CMDS	V3.1.2.0	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	CMDR报表系统	V2.6.1.0	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	本币CSTP	V1.9.8.3	Y	Y	ETL	
外汇交易系统	V2.81.5	->	信息	即时通讯系统CM		N	N	ETL	
外汇交易系统	V2.81.5	->	信息	货币网	V1.15.37	Y	Y		
外汇交易系统	V2.81.5	->	信息	货币网移动版	V1.15.40	Y	Y		
外汇交易系统	V2.81.5	->	信息	IMIX应急系统	V2.0.12.0	Y	N		
外汇交易系统	V2.81.5	->	基础	ETL	V9.17.0.0	Y	Y	ETL	
外汇交易系统	V2.81.5	->	基础	ETL	V9.19.0.0	Y	Y	ETL	
外汇交易系统	V2.81.5	->	基础	ETL	V9.58.0.1	Y	Y	ETL	
外汇交易系统	V2.81.5	->	基础	ETL	V9.21.00	Y	Y	ETL	
ETL	V9.17.0.0	->	基础	大屏互动展示系统	V1.2.3	Y	Y		
ETL	V9.19.0.0	->	基础	本币CSTP	V1.9.8.3	Y	Y		
ETL	V9.58.0.1	->	基础	货币网	V1.15.37	Y	Y		
ETL	V9.58.0.1	->	基础	货币网移动版	V1.15.40	Y	Y		
ETL	V9.21.0.0	->	基础	交易后处理系统	V2.3.3	Y	Y		
